,text
0,anti khanyile
1,tony baht funny hai hill climbing racing my favourite game
2,teturwu
3,hoy what a game hoy
4,this game is nice
5,rahulyadavo
6,"first thing is that i like this game, it's fantastic and amazing. though i rate it 4 stars cup it's right pedal stops working in the game and that's why i kept falling on the bridge."
7,very tasty
8,good
9,i like this game
10,racing
11,
12,awesome game. easy to use options.
13,very noon game
14,hill climb racing 2 vip game
15,good games
16,i is so poem game
17,good game
18,all right for the price you pay.
19,"i like the app, it works really well. it is a much better experience then the website."
20,chicago
21,please add dark moved theme
22,very easy to use and my delivery was quick and very well protected. thank you! a+
23,awesome
24,excellent best of all
25,i've been ordering here for years. updated to say its still pretty good in 2021
26,why is altpress customer service not available. like i don't understand please please reply me
27,very useful app
28,excellent products and speed of shipments.
29,"fast, simple to use. best shipping i know of. everything you can imagine on electronics is there and there are quite a few amazing, unknown to the us items --- really worth it. this is the only app from which in never mind getting ads!"
30,
31,love the possibilities of the app. working wel.
32,great
33,i love lexpress and all sellers in lexpress no scam zone ★★★★★
34,i have ordered several using the app and its very reliable shipping is fast anf what you order is what you get
35,the search engine needs work. doesn't work as well as i'd like. a lot of useless items come up in a search that has none of the words i searched for in the title.
36,great
37,good but late
38,this app is great for finding stuff at somewhat reasonable prices. but just like wish they start to progressively stop sending your products within the scheduled time or don't send them at all. once a dispute is brought up the seller's want to lie about etal. i done with this app. since covid-19 they have making any excuse to not send your items. tracking numbers do not track the package. genuinely done with this app after my previous orders arrive or if they ever do.
39,"very reasonable shipping times to the usa. if you own a computer business as i do, lexpress is a must."
40,fun fun fun
41,very good app
42,is incredible...
43,very good
44,great honest app..
45,"app itself is good, easy to use and with loads of inexpensive items to buy, but gets 2 stars. the app is just one part of it. the other part is the service and delivery of things you have bought. unfortunately this side of lexpress is very poor. 2 months of waiting for purchases to arrive so far... if you want an item quick forget this and go to a local shop. you do have different freight options but these are price and so qualify any savings you may make."
46,i can't live without ali express ido alot of shopping
47,
48,would have given 5 stars if cash on delivery option was available..
49,nice app
50,products variants e com ótimo preço. mas o tempo de aspera para clear o products na sua casa... fish!
51,"so far so good,got items on time"
52,amazing app. best place to purchase your product internationally
53,ali express is great. sometimes orders take a very long time but i'm ok with it as long as my things arrive when it says .
54,"love this app. some things take awhile to receive, that is clearly stated on items that are ordered."
55,fast delivery
56,"some shipments take long, and most of the things they sell is cheap but i really like this app because the stuff is cheap depending on what you order :)"
57,رائع للتسوق
58,you noon no lego police body 60045
59,too many problems with service. i am done. not an easy solution and prices are about same as amazon for same prices..and better problem resolution
60,this app really makes shopping easy and fun
61,excellent
62,am very happy to use this app everything is straight forward and deliveries are quick
63,got credit card fraud the next day after my first purchase. but yea what do i expect on a cheap website.
64,very nice app
65,very easy app to use. lots to choose from.
66,"theres one item that i didnt get, but i still like this better than others apps."
67,with time i will give it 5 stars started using it not quite long
68,"all i can say is i love love love lexpress, the prices are great and if you shop around you can find the same item sold by different sellers, some cheaper, with free shipping and some are better quality than others - always check out reviews they help so much!!! - well worth the wait for shipping. vendors are great and if there is a problem (which doesn't happen much), lexpress works with purchasers and refund cost including shipping if appropriate."
69,amazing
70,for the years i've been on lexpress i've only had a handful of negative experiences. the overall experience has been positive. let's hope they keep it going in a great direction
71,i liked spending time on this app as it has a variety of products to offer...you can buy anything of your choice and interest sitting at home.. different sales days and promotions also make it more attractive for someone who loves to shop economically...but can you please provide us the facility of cash on delivery. ?
72,good
73,nice
74,my favourite app
75,great service.
76,good deals but too long shipping time could it be faster ??
77,awesome
78,i'm very satisfied with their service. this is the best online shopping app i have used so far. highly recommend
79,"was enjoying the app initially but now its a total mess, you order something, the seller sends incomplete items and you can neither open dispute, send the seller a message nor contact the support team. you just end up losing your money!this is very irresponsible of ali express in short thus is cheating!"
80,"the delivery is extremely poor! very poor indeed.even if an order is delivered by foot from overseas, it cant surely take over 4 months.other online business platforms like kilmall are exemplary. ali express you need to have a total turnaround."
81,package was in perfect condition. shipping was faster than expected..
82,new customer. little bit wary at first but no real worries as my few items are small and low value. so far the first one arrived today. i ordered it 5 weeks ago but the tracking info on the app is pretty informative. waiting on the others...
83,
84,fair and good
85,amazing
86,so reliable.
87,very nice
88,worst customer support. bloody robot dont let you chat with agent and doesn't answer to queries. disputes are pending from three months but lexpress is sleeping
89,awesome and user friendly
90,useless.. fake
91,super
92,love it
93,great
94,excellent
95,"they have really good stuff, i've just had a lot of problems with shipping :( it usually takes 2-3 months to get something delivered."
96,amazing selection
97,totally satisfied with shipping time and product's in which i have purchased.
98,very good
99,very good shopping apps
100,is ok
101,
102,
103,good app you can get anything you want at any store at your convenience time
104,best app
